processor_model,manufacturer,socket_type,core_count,clock_speed,power_consumption,price,release_date,architecture,is_discontinued
i7,Intel,LGA1151,12,1.78,57,772.73 zł,12/12/2012,x86,true
Ryzen 5,Intel,LGA1151,16,3.45,129,59.45 zł,2/19/2015,x86-64,false
i3,AMD,LGA1151,3,1.81,102,279.73 zł,4/14/2018,x86-64,true
i5,Intel,LGA1151,5,4.77,172,738.88 zł,2/24/2022,x86-64,true
Ryzen 5,Intel,LGA1151,12,4.78,25,64.92 zł,4/18/2011,x86-64,true
Ryzen 7,Intel,AM4,2,1.87,48,393.43 zł,7/29/2020,x86,false
i3,Intel,LGA1151,4,1.33,20,231.25 zł,10/24/2021,x86,true
Ryzen 7,AMD,LGA1151,9,2.09,190,807.72 zł,5/22/2021,x86-64,true
Ryzen 5,Intel,LGA1151,12,1.81,106,665.7 zł,1/26/2020,x86-64,true
Ryzen 7,AMD,AM4,13,3.09,196,225.98 zł,8/6/2018,x86,false
i7,Intel,LGA1151,3,1.33,152,129.64 zł,6/2/2011,x86-64,false
Ryzen 7,Intel,AM4,8,4.75,24,362.68 zł,5/10/2018,x86-64,false
i3,AMD,LGA1151,4,1.5,153,703.97 zł,2/25/2019,x86-64,false
Ryzen 7,AMD,LGA1151,13,4.04,10,887.15 zł,4/4/2021,x86-64,false
i3,AMD,LGA1151,11,4.72,169,249.18 zł,8/24/2018,x86-64,true
i3,AMD,AM4,15,2.3,109,983.51 zł,3/31/2012,x86,false
Ryzen 5,Intel,LGA1151,5,4.77,110,334.13 zł,1/2/2018,x86-64,false
i5,AMD,LGA1151,4,1.64,118,842.55 zł,10/17/2019,x86,false
Ryzen 7,Intel,LGA1151,3,4.76,141,822.63 zł,9/29/2020,x86-64,true
Ryzen 5,AMD,LGA1151,16,4.41,157,62.72 zł,4/15/2020,x86-64,false
Ryzen 5,AMD,LGA1151,13,2.82,170,286.55 zł,4/12/2015,x86,true
Ryzen 7,Intel,AM4,13,3.72,146,53.47 zł,6/29/2017,x86,false
Ryzen 7,AMD,AM4,4,4.08,45,851.07 zł,4/25/2015,x86-64,false
Ryzen 7,AMD,AM4,4,3.58,145,799.63 zł,4/26/2021,x86-64,true
Ryzen 7,AMD,LGA1151,14,3.5,163,156.58 zł,10/5/2020,x86-64,true
i7,Intel,LGA1151,8,3.32,112,883.61 zł,8/4/2010,x86,false
Ryzen 7,Intel,LGA1151,2,2.45,53,533.15 zł,8/13/2021,x86-64,true
i7,Intel,AM4,11,4.86,146,940.19 zł,12/9/2015,x86-64,false
i7,Intel,LGA1151,7,2.44,169,687.45 zł,6/19/2019,x86,true
i3,Intel,AM4,7,1.53,164,133.42 zł,11/10/2022,x86,true
i5,Intel,LGA1151,2,4.36,98,325.0 zł,5/25/2021,x86,true
i5,AMD,LGA1151,9,1.09,185,734.69 zł,7/22/2014,x86-64,true
i5,AMD,LGA1151,6,1.02,103,837.43 zł,6/20/2016,x86,true
Ryzen 7,AMD,LGA1151,16,2,109,513.4 zł,11/22/2021,x86,false
Ryzen 7,AMD,AM4,7,2.37,57,782.71 zł,8/1/2012,x86-64,false
i5,Intel,LGA1151,12,2.2,78,881.16 zł,8/12/2011,x86,false
i3,AMD,AM4,15,2.46,161,782.42 zł,8/28/2015,x86-64,false
i3,AMD,LGA1151,8,1.56,15,128.38 zł,3/6/2018,x86,true
i3,AMD,AM4,13,2.52,69,417.81 zł,1/25/2018,x86-64,true
Ryzen 5,AMD,LGA1151,2,2.86,154,433.82 zł,5/11/2019,x86,false
i3,AMD,AM4,4,3.9,91,515.75 zł,6/1/2011,x86-64,true
Ryzen 7,AMD,LGA1151,13,2.73,102,953.5 zł,2/10/2011,x86-64,false
i7,Intel,AM4,3,1.56,55,581.66 zł,6/15/2021,x86-64,true
i5,AMD,AM4,14,2.95,147,325.21 zł,7/5/2016,x86,false
i3,Intel,AM4,11,3.41,117,961.92 zł,11/3/2020,x86,false
i3,AMD,LGA1151,11,4.55,60,798.97 zł,7/7/2016,x86,true
i3,Intel,LGA1151,13,2.62,61,405.53 zł,2/23/2019,x86,false
i3,Intel,AM4,12,2.24,86,799.82 zł,9/2/2011,x86,true
i7,AMD,LGA1151,14,4.31,43,826.28 zł,12/3/2020,x86-64,false
Ryzen 7,Intel,AM4,3,4.64,143,581.38 zł,3/26/2018,x86-64,false
Ryzen 7,Intel,AM4,9,3.48,194,831.89 zł,12/7/2013,x86,true
Ryzen 5,Intel,AM4,16,4.02,101,527.08 zł,1/1/2012,x86,false
i3,AMD,LGA1151,7,1.09,141,756.81 zł,3/4/2021,x86,false
i3,Intel,AM4,14,1.2,180,531.93 zł,5/31/2019,x86-64,true
i7,AMD,LGA1151,13,3.59,101,129.57 zł,2/10/2012,x86,true
Ryzen 7,AMD,AM4,15,1.96,49,685.12 zł,9/13/2010,x86,true
Ryzen 5,AMD,AM4,8,4.39,99,63.8 zł,12/22/2014,x86,true
i5,AMD,LGA1151,12,4.2,126,487.14 zł,7/9/2010,x86-64,true
Ryzen 5,AMD,LGA1151,9,1.37,142,514.45 zł,5/16/2019,x86,false
i7,AMD,AM4,11,4.09,139,769.74 zł,8/28/2020,x86-64,true
i3,Intel,AM4,7,2.29,137,375.55 zł,9/25/2013,x86-64,true
i7,Intel,LGA1151,3,1.3,25,772.86 zł,8/22/2022,x86-64,false
Ryzen 7,AMD,LGA1151,16,1.96,67,809.37 zł,8/18/2019,x86-64,false
Ryzen 7,AMD,LGA1151,13,1.9,47,570.9 zł,6/2/2015,x86-64,true
i7,AMD,LGA1151,8,1.44,39,971.26 zł,5/20/2015,x86,true
Ryzen 5,Intel,AM4,14,3.02,179,921.77 zł,12/7/2016,x86,false
i7,Intel,LGA1151,12,3.2,28,786.73 zł,3/8/2012,x86-64,true
i5,AMD,LGA1151,15,1.32,49,887.92 zł,9/19/2014,x86,false
i3,AMD,LGA1151,3,4.76,38,306.5 zł,5/24/2011,x86,false
i5,Intel,AM4,16,4.6,134,851.88 zł,3/15/2011,x86,true
Ryzen 5,Intel,AM4,16,2.47,44,212.82 zł,9/23/2021,x86-64,false
i7,AMD,AM4,15,1.94,63,312.89 zł,3/5/2014,x86-64,false
i5,Intel,LGA1151,4,4.74,149,497.78 zł,10/30/2012,x86,true
Ryzen 7,AMD,LGA1151,10,1.77,33,349.34 zł,12/27/2017,x86,true
i3,AMD,LGA1151,15,1.59,12,867.91 zł,4/12/2014,x86,true
Ryzen 7,AMD,AM4,10,4.78,160,305.84 zł,8/26/2015,x86,false
i3,AMD,AM4,16,3.82,20,56.47 zł,4/6/2019,x86,true
Ryzen 5,AMD,AM4,2,2.07,173,374.11 zł,2/24/2015,x86-64,false
i5,AMD,AM4,14,4.16,99,629.38 zł,2/26/2013,x86-64,false
i3,Intel,LGA1151,2,4.74,116,828.14 zł,4/6/2021,x86-64,false
Ryzen 5,AMD,LGA1151,13,1.15,135,970.7 zł,11/5/2015,x86,false
Ryzen 7,AMD,LGA1151,3,3.8,170,499.94 zł,10/2/2021,x86-64,false
Ryzen 7,Intel,LGA1151,4,1.54,185,956.83 zł,4/10/2012,x86,false
Ryzen 7,AMD,LGA1151,9,1.75,54,590.14 zł,1/7/2018,x86,true
i7,AMD,LGA1151,7,4.77,16,284.45 zł,8/8/2017,x86-64,true
Ryzen 7,AMD,AM4,9,4.15,120,660.53 zł,9/15/2019,x86,true
i7,AMD,LGA1151,14,4.44,131,838.66 zł,9/27/2020,x86,true
Ryzen 7,AMD,LGA1151,13,3.13,15,742.93 zł,3/27/2018,x86,true
Ryzen 5,AMD,AM4,5,4.4,43,877.62 zł,9/8/2019,x86-64,true
i3,Intel,LGA1151,13,4.35,86,672.69 zł,6/25/2022,x86,true
Ryzen 7,AMD,AM4,7,2.09,92,370.33 zł,5/5/2013,x86-64,false
Ryzen 5,AMD,LGA1151,15,3.86,163,369.0 zł,6/29/2015,x86,true
i5,Intel,AM4,4,1.95,18,772.94 zł,2/12/2020,x86,true
Ryzen 7,AMD,AM4,10,4.23,140,85.8 zł,11/13/2010,x86,false
i3,Intel,LGA1151,6,2.73,84,97.22 zł,4/14/2017,x86,false
Ryzen 5,AMD,LGA1151,15,4.63,79,496.56 zł,8/16/2014,x86,true
i3,Intel,LGA1151,14,2.53,174,460.7 zł,6/17/2014,x86-64,true
Ryzen 7,AMD,AM4,2,4.47,26,593.29 zł,2/15/2012,x86,false
Ryzen 5,Intel,LGA1151,4,3,164,243.16 zł,4/23/2021,x86-64,true
i7,Intel,LGA1151,9,1.8,26,188.31 zł,2/7/2018,x86,false
i5,Intel,AM4,5,4.05,35,363.39 zł,2/4/2016,x86,false
Ryzen 7,Intel,LGA1151,6,2.93,143,882.26 zł,2/17/2011,x86,true
Ryzen 5,AMD,AM4,2,1.35,115,559.56 zł,7/28/2016,x86-64,true
i7,AMD,LGA1151,10,2.07,130,821.83 zł,2/7/2019,x86,true
Ryzen 5,AMD,LGA1151,13,3.65,99,152.58 zł,6/9/2017,x86,false
i5,Intel,LGA1151,10,3.05,196,975.56 zł,11/6/2017,x86,false
i5,AMD,LGA1151,11,2.85,130,935.5 zł,9/24/2015,x86,true
i5,AMD,AM4,8,3.7,46,124.03 zł,4/7/2014,x86,true
i5,Intel,LGA1151,11,2.46,124,786.85 zł,1/21/2017,x86-64,true
i3,Intel,LGA1151,14,2.15,98,452.15 zł,2/26/2013,x86,false
Ryzen 5,AMD,LGA1151,2,2.28,14,865.39 zł,1/11/2010,x86-64,false
i7,Intel,LGA1151,3,1.18,58,273.92 zł,5/7/2012,x86,true
i7,AMD,LGA1151,2,3.23,97,440.34 zł,7/12/2014,x86,true
i7,Intel,AM4,16,3.22,134,945.76 zł,2/6/2022,x86-64,false
Ryzen 7,Intel,AM4,7,1.78,81,348.33 zł,6/17/2011,x86-64,false
i5,AMD,LGA1151,4,4.84,106,620.47 zł,6/8/2014,x86-64,false
Ryzen 5,Intel,LGA1151,8,1.37,138,819.09 zł,12/30/2017,x86-64,false
i3,AMD,LGA1151,16,4.01,192,773.73 zł,12/23/2011,x86-64,true
Ryzen 5,AMD,LGA1151,15,2.94,107,787.82 zł,12/12/2018,x86,false
i3,Intel,AM4,9,1.48,137,356.71 zł,8/16/2017,x86-64,true
i3,AMD,LGA1151,4,4.43,47,485.63 zł,11/4/2020,x86-64,true
i5,Intel,AM4,9,4.33,93,909.08 zł,11/24/2022,x86-64,false
i5,AMD,AM4,9,1.93,87,744.03 zł,5/30/2014,x86-64,false
Ryzen 7,AMD,AM4,16,1.48,138,802.02 zł,3/6/2017,x86-64,false
i3,Intel,AM4,7,4.43,108,277.5 zł,10/11/2014,x86,false
i5,Intel,LGA1151,5,2.24,180,279.46 zł,2/1/2013,x86-64,false
i3,Intel,LGA1151,15,2.19,103,795.66 zł,6/9/2022,x86,true
i5,AMD,LGA1151,6,3.13,34,709.22 zł,7/30/2014,x86-64,false
Ryzen 5,Intel,AM4,2,4.56,82,507.53 zł,5/18/2015,x86,false
i5,AMD,LGA1151,9,3.39,127,569.01 zł,8/8/2011,x86,false
Ryzen 5,Intel,LGA1151,14,3.74,129,245.32 zł,1/11/2020,x86,true
i5,AMD,AM4,6,3.88,160,740.3 zł,3/6/2013,x86,false
i5,AMD,LGA1151,11,2.86,50,844.6 zł,12/2/2019,x86,true
Ryzen 7,Intel,AM4,13,4.3,190,346.33 zł,8/22/2013,x86-64,false
Ryzen 5,AMD,AM4,10,1.54,74,591.87 zł,10/29/2013,x86,false
i5,AMD,LGA1151,2,2.07,52,907.39 zł,5/20/2020,x86-64,true
Ryzen 5,Intel,AM4,3,2.49,156,311.94 zł,3/16/2010,x86-64,false
i5,AMD,LGA1151,3,3.91,116,849.52 zł,11/8/2018,x86,true
Ryzen 5,AMD,AM4,5,2.93,91,271.7 zł,6/10/2017,x86-64,true
Ryzen 7,AMD,LGA1151,10,2.6,94,676.48 zł,7/28/2014,x86-64,false
Ryzen 7,AMD,AM4,12,1.33,159,951.18 zł,9/7/2015,x86,false
i5,AMD,LGA1151,15,3.64,81,449.87 zł,6/8/2016,x86-64,true
Ryzen 7,Intel,AM4,13,2.3,86,398.34 zł,9/9/2022,x86-64,true
Ryzen 7,Intel,AM4,2,3.42,18,651.79 zł,3/2/2010,x86-64,false
i3,AMD,AM4,14,2.36,188,278.44 zł,12/20/2017,x86-64,false
Ryzen 5,Intel,AM4,7,3.43,158,651.74 zł,9/1/2022,x86-64,false
i3,AMD,LGA1151,8,2.46,186,965.35 zł,6/21/2011,x86,true
Ryzen 7,AMD,LGA1151,13,1.9,28,826.76 zł,12/29/2017,x86,true
i5,Intel,AM4,7,4.7,134,806.95 zł,3/3/2011,x86-64,false
i3,Intel,LGA1151,5,1.05,43,838.6 zł,7/23/2021,x86,false
i5,Intel,LGA1151,9,3.18,25,502.18 zł,5/22/2021,x86-64,false
i5,Intel,LGA1151,4,1.06,102,881.86 zł,6/1/2013,x86,false
Ryzen 5,AMD,AM4,5,2.11,194,276.08 zł,9/30/2022,x86,true
i5,AMD,AM4,6,4.69,152,359.34 zł,1/31/2010,x86,true
Ryzen 5,AMD,LGA1151,7,4.8,137,528.71 zł,12/4/2018,x86,false
Ryzen 5,Intel,LGA1151,14,2.15,91,410.28 zł,9/18/2016,x86,true
Ryzen 5,Intel,LGA1151,7,3.19,115,585.58 zł,12/16/2011,x86,false
Ryzen 7,AMD,AM4,10,1.62,186,627.36 zł,9/13/2012,x86,false
i5,Intel,AM4,11,1.75,82,250.42 zł,12/29/2013,x86-64,false
Ryzen 5,AMD,AM4,8,4.95,144,207.46 zł,5/22/2015,x86-64,false
i7,AMD,LGA1151,7,2.53,14,481.57 zł,5/30/2021,x86-64,false
i7,Intel,AM4,11,3.58,30,231.82 zł,7/2/2021,x86,true
Ryzen 7,Intel,AM4,5,2.16,196,454.36 zł,7/6/2018,x86-64,false
i3,Intel,AM4,5,4.83,121,438.17 zł,8/5/2017,x86,true
i5,Intel,LGA1151,2,1.1,200,977.29 zł,5/1/2018,x86,false
Ryzen 5,Intel,AM4,9,2.65,183,325.95 zł,12/1/2019,x86,true
i5,Intel,AM4,6,3.09,73,454.23 zł,5/17/2010,x86-64,false
Ryzen 7,AMD,AM4,10,4.24,27,344.12 zł,8/30/2018,x86-64,true
i7,AMD,LGA1151,12,1.04,63,448.83 zł,5/12/2010,x86-64,true
i3,Intel,AM4,14,3.49,31,968.59 zł,1/18/2016,x86-64,true
Ryzen 7,Intel,LGA1151,6,2.51,119,274.43 zł,5/22/2016,x86-64,false
Ryzen 5,Intel,AM4,6,4.62,143,118.62 zł,3/3/2015,x86-64,false
Ryzen 5,Intel,LGA1151,12,3.73,39,490.58 zł,9/4/2020,x86-64,true
i7,Intel,LGA1151,15,4.44,45,262.08 zł,7/1/2018,x86,true
i3,AMD,AM4,13,3.62,49,573.2 zł,3/27/2018,x86-64,false
i7,AMD,AM4,3,3.01,46,557.61 zł,8/15/2019,x86,true
i7,Intel,LGA1151,8,2.32,69,452.48 zł,12/14/2022,x86,true
Ryzen 5,Intel,AM4,10,1.96,118,305.02 zł,4/22/2018,x86-64,true
Ryzen 5,AMD,AM4,7,3.56,186,953.72 zł,3/4/2019,x86,false
Ryzen 7,AMD,AM4,7,3.97,54,986.41 zł,1/7/2014,x86-64,false
i3,AMD,AM4,11,4.57,15,765.09 zł,8/12/2011,x86,true
Ryzen 7,Intel,LGA1151,12,3.86,185,898.06 zł,2/11/2018,x86,true
Ryzen 5,AMD,LGA1151,7,4,32,532.42 zł,1/7/2018,x86,true
i5,Intel,LGA1151,5,1.69,23,460.54 zł,9/2/2012,x86,true
Ryzen 7,AMD,AM4,6,3.3,116,266.24 zł,4/1/2020,x86,false
i5,AMD,AM4,13,3.04,97,359.81 zł,8/22/2021,x86,true
Ryzen 5,Intel,AM4,3,4.89,128,736.02 zł,4/7/2020,x86,true
i5,AMD,LGA1151,6,2.88,33,82.37 zł,1/5/2020,x86,false
Ryzen 5,Intel,AM4,10,2.54,57,998.15 zł,5/25/2017,x86,false
i5,Intel,LGA1151,5,2.63,27,203.36 zł,2/3/2013,x86-64,false
i7,Intel,LGA1151,6,1.89,143,160.88 zł,5/22/2016,x86,true
i7,Intel,LGA1151,11,3.54,97,838.9 zł,11/22/2011,x86,false
Ryzen 5,Intel,AM4,13,1.18,146,299.37 zł,11/3/2017,x86,true
i7,AMD,LGA1151,12,2.93,56,948.8 zł,9/15/2018,x86-64,true
i5,AMD,LGA1151,3,4.17,16,744.33 zł,11/20/2022,x86-64,true
Ryzen 7,Intel,LGA1151,16,3.18,32,118.6 zł,12/6/2020,x86-64,false
i7,AMD,AM4,12,3.4,130,331.57 zł,5/5/2012,x86,false
i3,Intel,AM4,5,3.38,74,980.99 zł,5/25/2019,x86,false
i3,Intel,LGA1151,10,1.11,91,575.78 zł,10/22/2017,x86-64,true
i7,AMD,AM4,5,1.85,50,424.09 zł,5/10/2021,x86-64,false
i5,Intel,LGA1151,14,1.24,153,379.78 zł,10/18/2018,x86,true
i5,AMD,LGA1151,4,1.19,37,734.29 zł,3/26/2020,x86-64,true
Ryzen 7,AMD,AM4,7,3.25,139,254.2 zł,4/29/2013,x86,true
i5,AMD,AM4,7,2.67,111,897.66 zł,4/17/2016,x86-64,false
i5,Intel,LGA1151,5,4.24,129,533.6 zł,10/29/2017,x86,false
Ryzen 7,Intel,LGA1151,2,2.25,188,400.83 zł,5/11/2016,x86,false
Ryzen 5,Intel,LGA1151,10,4.31,147,161.58 zł,2/1/2013,x86-64,false
Ryzen 7,Intel,LGA1151,7,4.41,16,979.65 zł,7/24/2017,x86,false
Ryzen 5,Intel,LGA1151,6,3.17,178,106.47 zł,4/28/2018,x86-64,true
Ryzen 7,AMD,AM4,12,4.03,86,758.22 zł,6/8/2019,x86,true
Ryzen 5,Intel,AM4,4,1.61,164,574.44 zł,11/19/2017,x86,false
Ryzen 5,AMD,LGA1151,14,1.03,48,921.4 zł,12/13/2015,x86,true
i5,Intel,LGA1151,4,3.58,43,213.67 zł,9/9/2017,x86-64,false
i3,AMD,LGA1151,9,2.88,192,706.98 zł,6/20/2012,x86-64,true
i7,Intel,LGA1151,2,4.68,64,721.04 zł,7/24/2019,x86-64,false
i7,AMD,AM4,6,4.02,105,571.34 zł,5/7/2011,x86-64,true
i3,Intel,AM4,9,4.81,102,510.92 zł,7/10/2022,x86-64,false
i5,AMD,AM4,16,4.07,26,846.75 zł,12/24/2020,x86-64,true
i3,AMD,AM4,10,4.22,88,888.58 zł,8/28/2012,x86,true
Ryzen 7,AMD,AM4,8,4.78,45,441.21 zł,2/20/2015,x86-64,false
i5,AMD,LGA1151,8,3.01,128,383.94 zł,3/1/2018,x86,false
i5,AMD,LGA1151,16,4.65,162,522.3 zł,10/20/2012,x86,true
i3,AMD,AM4,8,1.52,125,51.57 zł,9/26/2011,x86,false
i7,AMD,LGA1151,14,3.59,63,215.19 zł,1/15/2020,x86-64,false
Ryzen 7,AMD,AM4,3,1.16,192,160.0 zł,8/23/2012,x86,true
i5,Intel,AM4,9,2.7,10,700.11 zł,2/12/2012,x86-64,false
Ryzen 7,Intel,AM4,5,3,142,210.9 zł,6/20/2015,x86,false
Ryzen 7,AMD,AM4,4,4,144,564.06 zł,3/24/2010,x86-64,true
Ryzen 5,Intel,AM4,13,2.22,136,510.08 zł,4/14/2021,x86-64,true
i5,AMD,LGA1151,11,4.72,122,434.67 zł,2/21/2018,x86-64,false
i5,Intel,AM4,11,4.66,188,957.76 zł,5/15/2022,x86,false
i7,Intel,LGA1151,4,1.09,41,817.69 zł,12/23/2013,x86-64,false
Ryzen 7,Intel,AM4,6,3.8,136,194.21 zł,7/27/2010,x86,true
Ryzen 7,AMD,AM4,4,2.34,72,497.99 zł,9/20/2013,x86-64,false
i3,Intel,AM4,13,3.39,116,233.29 zł,6/6/2013,x86-64,false
Ryzen 5,AMD,AM4,5,4.32,55,504.69 zł,7/11/2010,x86,true
i7,AMD,LGA1151,15,1.97,189,639.38 zł,11/20/2018,x86-64,false
i5,AMD,LGA1151,4,2.06,110,167.29 zł,6/15/2020,x86,false
i3,AMD,LGA1151,12,1.57,52,136.52 zł,6/23/2013,x86,true
i3,AMD,LGA1151,7,4.89,20,74.92 zł,11/15/2019,x86,true
i5,Intel,LGA1151,2,1.97,200,290.07 zł,8/8/2012,x86,false
Ryzen 7,Intel,AM4,4,2.76,79,545.79 zł,6/2/2016,x86,true
i3,Intel,LGA1151,12,4.54,187,741.77 zł,8/1/2018,x86-64,true
i3,AMD,LGA1151,9,4.45,159,550.62 zł,12/10/2019,x86-64,true
Ryzen 7,AMD,LGA1151,11,2.9,66,158.22 zł,11/5/2011,x86-64,false
Ryzen 5,AMD,AM4,15,1.23,111,499.25 zł,12/18/2016,x86,false
i5,AMD,AM4,12,1.02,112,623.86 zł,11/2/2019,x86,true
Ryzen 7,Intel,AM4,2,1.64,124,869.59 zł,6/5/2016,x86-64,true
Ryzen 7,Intel,AM4,10,2.25,62,154.75 zł,3/9/2017,x86,true
i7,Intel,AM4,10,4.26,33,383.06 zł,6/19/2011,x86,true
i5,Intel,LGA1151,2,1.61,198,175.69 zł,4/13/2016,x86,true
i3,AMD,LGA1151,6,2.21,165,599.09 zł,9/6/2015,x86,false
Ryzen 5,Intel,AM4,16,2.29,65,136.38 zł,1/22/2016,x86,true
i7,Intel,AM4,8,2.02,103,140.25 zł,7/31/2011,x86,true
i5,Intel,AM4,6,2.23,16,763.43 zł,4/8/2012,x86,true
i7,AMD,LGA1151,6,3.92,116,870.36 zł,10/3/2010,x86,true
i7,AMD,LGA1151,13,3.33,171,973.19 zł,4/2/2013,x86,false
i7,Intel,LGA1151,2,1.13,113,582.8 zł,4/25/2015,x86,false
i7,AMD,LGA1151,5,3.79,175,227.31 zł,9/1/2022,x86,false
i7,AMD,AM4,16,4.76,164,312.33 zł,12/30/2013,x86,true
Ryzen 5,Intel,LGA1151,12,3.08,180,321.41 zł,2/14/2014,x86-64,false
Ryzen 5,Intel,LGA1151,15,3.39,102,481.12 zł,10/5/2017,x86,true
Ryzen 7,Intel,LGA1151,16,1.19,83,690.34 zł,8/28/2013,x86-64,false
Ryzen 7,Intel,AM4,2,3.04,12,819.64 zł,7/14/2018,x86-64,false
i5,Intel,AM4,3,3.28,177,695.27 zł,6/30/2015,x86,false
Ryzen 7,Intel,AM4,9,1.53,63,89.29 zł,3/16/2013,x86-64,true
i7,Intel,AM4,8,2.36,40,227.4 zł,4/29/2017,x86-64,false
i7,AMD,AM4,6,2.07,76,168.79 zł,2/13/2017,x86-64,false
i7,AMD,LGA1151,7,3.49,195,714.52 zł,12/8/2013,x86,false
i5,Intel,AM4,7,3.83,121,913.16 zł,1/6/2017,x86,false
Ryzen 7,AMD,AM4,13,3.9,118,601.42 zł,2/24/2010,x86,true
Ryzen 5,AMD,AM4,16,2.52,76,106.13 zł,5/24/2010,x86-64,false
Ryzen 7,AMD,LGA1151,12,1.13,126,77.92 zł,10/16/2022,x86-64,false
Ryzen 5,AMD,LGA1151,10,3.29,136,501.44 zł,8/3/2022,x86-64,false
Ryzen 7,Intel,LGA1151,7,3.28,147,898.18 zł,10/5/2022,x86-64,false
i3,AMD,AM4,8,4.71,138,845.63 zł,2/22/2011,x86-64,true
i3,Intel,AM4,6,2.95,174,760.71 zł,9/18/2013,x86,false
Ryzen 7,Intel,LGA1151,8,3.31,11,309.41 zł,8/30/2011,x86-64,false
Ryzen 7,AMD,LGA1151,3,1.04,176,671.43 zł,4/1/2010,x86,true
i5,Intel,AM4,12,3.04,103,872.76 zł,1/13/2012,x86,true
i7,AMD,AM4,13,2.08,74,768.47 zł,4/22/2021,x86-64,true
Ryzen 7,Intel,AM4,11,3.11,91,255.77 zł,10/31/2014,x86-64,false
i3,AMD,AM4,11,4.69,181,196.4 zł,2/16/2014,x86,true
i3,Intel,LGA1151,14,1.91,49,562.15 zł,4/25/2018,x86,false
Ryzen 5,Intel,AM4,5,1.97,65,562.19 zł,1/23/2015,x86,true
Ryzen 5,Intel,AM4,5,1.22,31,880.63 zł,11/23/2012,x86,false
Ryzen 7,AMD,AM4,4,1.38,114,593.14 zł,2/22/2018,x86-64,false
